Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
ALGS,"12,100",6%,BUY,"$1.96","-0.10","-4.85%","$23,716.00","-$1,211.00","-4.86%","N/A"
BYND,"1,100",4%,BUY,"$16.84","1.72","11.38%","$18,524.00","$1,739.54","10.36%","N/A"
CVX,"1,000",43%,BUY,"$181.39","0.49","0.27%","$181,390.00","$1,785.00","0.99%","N/A"
DNB,"3,300",11%,BUY,"$14.05","0.07","0.50%","$46,365.00","$1,188.00","2.63%","N/A"
EVH,"600",4%,BUY,"$31.79","0.96","3.10%","$19,071.00","$900.00","4.95%","N/A"
PDCE,"500",8%,BUY,"$69.27","1.64","2.42%","$34,635.00","$1,440.99","4.34%","N/A"
RBLX,"500",4%,BUY,"$35.90","0.52","1.46%","$17,947.50","-$607.50","-3.27%","N/A"
UAL,"600",7%,BUY,"$49.45","-0.01","-0.02%","$29,670.00","-$756.00","-2.48%","N/A"
UPST,"1,500",7%,BUY,"$18.48","1.19","6.89%","$27,721.50","$1,512.20","5.77%","N/A"
WFC,"600",6%,BUY,"$45.17","1.25","2.85%","$27,102.00","$543.00","2.04%","N/A"
